epoch,train_loss,val_loss
2,0.157756,0.141609
4,0.157151,0.14112
6,0.156548,0.140632
8,0.155946,0.140144
10,0.155346,0.139659
12,0.154747,0.139174
14,0.15415,0.138691
16,0.153555,0.138209
18,0.152962,0.137729
20,0.15237,0.13725
22,0.151781,0.136773
24,0.151193,0.136297
26,0.150607,0.135822
28,0.150023,0.135349
30,0.149441,0.134877
32,0.148861,0.134407
34,0.148283,0.133939
36,0.147707,0.133472
38,0.147133,0.133006
40,0.146561,0.132542
42,0.145991,0.13208
44,0.145423,0.131619
46,0.144857,0.13116
48,0.144292,0.130702
50,0.14373,0.130246
52,0.14317,0.129791
54,0.142612,0.129338
56,0.142056,0.128886
58,0.141502,0.128436
60,0.140949,0.127987
62,0.140399,0.12754
64,0.139851,0.127094
66,0.139304,0.12665
68,0.13876,0.126207
70,0.138217,0.125766
72,0.137676,0.125326
74,0.137138,0.124888
76,0.136601,0.124451
78,0.136066,0.124015
80,0.135533,0.123581
82,0.135001,0.123149
84,0.134472,0.122718
86,0.133944,0.122288
88,0.133418,0.121859
90,0.132894,0.121432
92,0.132372,0.121007
94,0.131852,0.120582
96,0.131333,0.120159
98,0.130816,0.119737
100,0.130301,0.119317
102,0.129787,0.118898
104,0.129275,0.11848
106,0.128765,0.118064
108,0.128257,0.117649
110,0.12775,0.117235
112,0.127245,0.116823
114,0.126742,0.116411
116,0.12624,0.116001
118,0.12574,0.115592
120,0.125241,0.115185
122,0.124745,0.114778
124,0.124249,0.114373
126,0.123755,0.113969
128,0.123263,0.113566
130,0.122772,0.113165
132,0.122283,0.112764
134,0.121796,0.112365
136,0.12131,0.111967
138,0.120825,0.11157
140,0.120342,0.111174
142,0.11986,0.110779
144,0.11938,0.110385
146,0.118901,0.109992
148,0.118424,0.109601
150,0.117948,0.109211
152,0.117473,0.108821
154,0.117,0.108433
156,0.116529,0.108046
158,0.116058,0.10766
160,0.115589,0.107274
162,0.115122,0.10689
164,0.114655,0.106507
166,0.114191,0.106125
168,0.113727,0.105744
170,0.113265,0.105364
172,0.112804,0.104985
174,0.112344,0.104607
176,0.111886,0.104231
178,0.111429,0.103855
180,0.110974,0.10348
182,0.110519,0.103106
184,0.110066,0.102733
186,0.109614,0.102361
188,0.109164,0.10199
190,0.108715,0.10162
192,0.108267,0.101251
194,0.10782,0.100883
196,0.107375,0.100516
198,0.106931,0.10015
200,0.106488,0.0997846
202,0.106046,0.0994204
204,0.105606,0.0990573
206,0.105167,0.0986951
208,0.104729,0.0983338
210,0.104292,0.0979735
212,0.103857,0.0976142
214,0.103423,0.0972559
216,0.10299,0.0968985
218,0.102558,0.096542
220,0.102128,0.0961866
222,0.101699,0.095832
224,0.101271,0.0954785
226,0.100844,0.0951259
228,0.100419,0.0947742
230,0.0999948,0.0944235
232,0.0995718,0.0940738
234,0.0991501,0.093725
236,0.0987296,0.0933772
238,0.0983103,0.0930303
240,0.0978923,0.0926844
242,0.0974754,0.0923394
244,0.0970598,0.0919954
246,0.0966455,0.0916524
248,0.0962324,0.0913103
250,0.0958205,0.0909691
252,0.0954098,0.0906289
254,0.0950004,0.0902896
256,0.0945921,0.0899513
258,0.0941851,0.089614
260,0.0937793,0.0892775
262,0.0933748,0.0889421
264,0.0929715,0.0886076
266,0.0925694,0.088274
268,0.0921684,0.0879414
270,0.0917688,0.0876097
272,0.0913703,0.087279
274,0.0909731,0.0869492
276,0.0905771,0.0866204
278,0.0901823,0.0862925
280,0.0897886,0.0859656
282,0.0893963,0.0856396
284,0.0890051,0.0853145
286,0.0886152,0.0849904
288,0.0882265,0.0846672
290,0.087839,0.084345
292,0.0874527,0.0840237
294,0.0870676,0.0837034
296,0.0866837,0.083384
298,0.086301,0.0830655
300,0.0859196,0.0827479
302,0.0855393,0.0824314
304,0.0851603,0.0821157
306,0.0847824,0.081801
308,0.0844058,0.0814872
310,0.0840304,0.0811744
312,0.0836562,0.0808624
314,0.0832831,0.0805514
316,0.0829113,0.0802414
318,0.0825407,0.0799323
320,0.0821713,0.0796241
322,0.0818031,0.0793168
324,0.0814361,0.0790105
326,0.0810702,0.0787051
328,0.0807056,0.0784006
330,0.0803422,0.078097
332,0.0799799,0.0777944
334,0.0796189,0.0774927
336,0.079259,0.0771919
338,0.0789003,0.0768921
340,0.0785429,0.0765931
342,0.0781866,0.0762951
344,0.0778315,0.075998
346,0.0774776,0.0757018
348,0.0771248,0.0754066
350,0.0767733,0.0751123
352,0.0764229,0.0748188
354,0.0760737,0.0745263
356,0.0757257,0.0742347
358,0.0753789,0.0739441
360,0.0750332,0.0736543
362,0.0746887,0.0733654
364,0.0743454,0.0730775
366,0.0740033,0.0727905
368,0.0736623,0.0725043
370,0.0733226,0.0722191
372,0.0729839,0.0719348
374,0.0726465,0.0716514
376,0.0723102,0.0713689
378,0.0719751,0.0710873
380,0.0716411,0.0708066
382,0.0713083,0.0705268
384,0.0709767,0.0702478
386,0.0706462,0.0699698
388,0.0703168,0.0696927
390,0.0699887,0.0694165
392,0.0696617,0.0691412
394,0.0693358,0.0688668
396,0.0690111,0.0685932
398,0.0686875,0.0683206
400,0.0683651,0.0680488
402,0.0680438,0.0677779
404,0.0677237,0.067508
406,0.0674047,0.0672389
408,0.0670869,0.0669707
410,0.0667702,0.0667033
412,0.0664546,0.0664369
414,0.0661402,0.0661713
416,0.0658269,0.0659066
418,0.0655147,0.0656428
420,0.0652037,0.0653799
422,0.0648938,0.0651178
424,0.064585,0.0648566
426,0.0642773,0.0645963
428,0.0639708,0.0643369
430,0.0636654,0.0640783
432,0.0633611,0.0638206
434,0.063058,0.0635638
436,0.0627559,0.0633078
438,0.062455,0.0630527
440,0.0621552,0.0627985
442,0.0618565,0.0625451
444,0.0615589,0.0622926
446,0.0612624,0.0620409
448,0.060967,0.0617901
450,0.0606727,0.0615402
452,0.0603796,0.0612911
454,0.0600875,0.0610428
456,0.0597965,0.0607955
458,0.0595066,0.0605489
460,0.0592179,0.0603033
462,0.0589302,0.0600584
464,0.0586436,0.0598144
466,0.0583581,0.0595713
468,0.0580737,0.059329
470,0.0577903,0.0590875
472,0.0575081,0.0588469
474,0.0572269,0.0586071
476,0.0569468,0.0583682
478,0.0566678,0.0581301
480,0.0563899,0.0578928
482,0.056113,0.0576564
484,0.0558373,0.0574208
486,0.0555625,0.057186
488,0.0552889,0.0569521
490,0.0550163,0.056719
492,0.0547448,0.0564867
494,0.0544743,0.0562552
496,0.0542049,0.0560246
498,0.0539366,0.0557948
500,0.0536693,0.0555658
502,0.0534031,0.0553376
504,0.0531379,0.0551102
506,0.0528737,0.0548837
508,0.0526107,0.0546579
510,0.0523486,0.054433
512,0.0520876,0.0542089
514,0.0518277,0.0539856
516,0.0515688,0.0537631
518,0.0513109,0.0535414
520,0.0510541,0.0533205
522,0.0507982,0.0531004
524,0.0505435,0.0528812
526,0.0502897,0.0526627
528,0.050037,0.052445
530,0.0497853,0.0522281
532,0.0495346,0.052012
534,0.049285,0.0517967
536,0.0490364,0.0515822
538,0.0487887,0.0513685
540,0.0485421,0.0511556
542,0.0482965,0.0509434
544,0.048052,0.0507321
546,0.0478084,0.0505215
548,0.0475658,0.0503117
550,0.0473242,0.0501027
552,0.0470837,0.0498945
554,0.0468441,0.0496871
556,0.0466055,0.0494804
558,0.046368,0.0492745
560,0.0461314,0.0490693
562,0.0458958,0.048865
564,0.0456612,0.0486614
566,0.0454275,0.0484586
568,0.0451949,0.0482566
570,0.0449632,0.0480553
572,0.0447326,0.0478547
574,0.0445029,0.047655
576,0.0442741,0.047456
578,0.0440464,0.0472578
580,0.0438196,0.0470602
582,0.0435937,0.0468635
584,0.0433689,0.0466675
586,0.043145,0.0464723
588,0.0429221,0.0462778
590,0.0427001,0.0460841
592,0.0424791,0.0458911
594,0.042259,0.0456989
596,0.0420399,0.0455074
598,0.0418217,0.0453166
600,0.0416045,0.0451266
602,0.0413882,0.0449373
604,0.0411729,0.0447488
606,0.0409585,0.044561
608,0.040745,0.0443739
610,0.0405325,0.0441875
612,0.0403209,0.0440019
614,0.0401103,0.043817
616,0.0399005,0.0436329
618,0.0396917,0.0434494
620,0.0394839,0.0432667
622,0.0392769,0.0430847
624,0.0390708,0.0429034
626,0.0388657,0.0427229
628,0.0386615,0.042543
630,0.0384582,0.0423639
632,0.0382558,0.0421855
634,0.0380544,0.0420078
636,0.0378538,0.0418308
638,0.0376541,0.0416545
640,0.0374553,0.0414789
642,0.0372574,0.041304
644,0.0370605,0.0411299
646,0.0368644,0.0409564
648,0.0366692,0.0407836
650,0.0364749,0.0406115
652,0.0362815,0.0404401
654,0.0360889,0.0402694
656,0.0358973,0.0400994
658,0.0357065,0.0399301
660,0.0355166,0.0397615
662,0.0353276,0.0395936
664,0.0351394,0.0394263
666,0.0349521,0.0392598
668,0.0347657,0.0390939
670,0.0345801,0.0389287
672,0.0343954,0.0387641
674,0.0342116,0.0386003
676,0.0340286,0.0384371
678,0.0338465,0.0382746
680,0.0336653,0.0381128
682,0.0334849,0.0379516
684,0.0333053,0.0377911
686,0.0331265,0.0376313
688,0.0329486,0.0374721
690,0.0327716,0.0373136
692,0.0325954,0.0371557
694,0.03242,0.0369986
696,0.0322455,0.036842
698,0.0320718,0.0366862
700,0.0318989,0.0365309
702,0.0317269,0.0363764
704,0.0315556,0.0362224
706,0.0313852,0.0360692
708,0.0312156,0.0359165
710,0.0310468,0.0357646
712,0.0308789,0.0356132
714,0.0307117,0.0354625
716,0.0305454,0.0353125
718,0.0303798,0.035163
720,0.0302151,0.0350143
722,0.0300512,0.0348661
724,0.0298881,0.0347186
726,0.0297257,0.0345717
728,0.0295642,0.0344254
730,0.0294034,0.0342798
732,0.0292435,0.0341348
734,0.0290843,0.0339904
736,0.0289259,0.0338467
738,0.0287683,0.0337035
740,0.0286115,0.033561
742,0.0284555,0.0334191
744,0.0283002,0.0332778
746,0.0281457,0.0331371
748,0.027992,0.0329971
750,0.027839,0.0328576
752,0.0276868,0.0327188
754,0.0275354,0.0325805
756,0.0273847,0.0324429
758,0.0272348,0.0323058
760,0.0270857,0.0321694
762,0.0269373,0.0320336
764,0.0267896,0.0318983
766,0.0266427,0.0317637
768,0.0264965,0.0316296
770,0.0263511,0.0314962
772,0.0262064,0.0313633
774,0.0260625,0.031231
776,0.0259193,0.0310993
778,0.0257768,0.0309682
780,0.0256351,0.0308377
782,0.0254941,0.0307078
784,0.0253538,0.0305784
786,0.0252143,0.0304496
788,0.0250754,0.0303214
790,0.0249373,0.0301938
792,0.0247999,0.0300667
794,0.0246632,0.0299402
796,0.0245272,0.0298143
798,0.024392,0.0296889
800,0.0242574,0.0295641
802,0.0241236,0.0294399
804,0.0239904,0.0293163
806,0.023858,0.0291931
808,0.0237262,0.0290706
810,0.0235952,0.0289486
812,0.0234648,0.0288272
814,0.0233351,0.0287063
816,0.0232061,0.028586
818,0.0230778,0.0284662
820,0.0229502,0.028347
822,0.0228233,0.0282283
824,0.022697,0.0281101
826,0.0225714,0.0279925
828,0.0224465,0.0278755
830,0.0223223,0.027759
832,0.0221987,0.027643
834,0.0220758,0.0275275
836,0.0219536,0.0274126
838,0.021832,0.0272983
840,0.0217111,0.0271844
842,0.0215908,0.0270711
844,0.0214712,0.0269583
846,0.0213522,0.026846
848,0.0212339,0.0267343
850,0.0211163,0.0266231
852,0.0209992,0.0265124
854,0.0208828,0.0264022
856,0.0207671,0.0262925
858,0.020652,0.0261834
860,0.0205375,0.0260747
862,0.0204237,0.0259666
864,0.0203105,0.025859
866,0.0201979,0.0257519
868,0.020086,0.0256453
870,0.0199747,0.0255392
872,0.019864,0.0254336
874,0.0197539,0.0253285
876,0.0196444,0.0252239
878,0.0195355,0.0251199
880,0.0194273,0.0250163
882,0.0193196,0.0249132
884,0.0192126,0.0248106
886,0.0191062,0.0247085
888,0.0190004,0.0246068
890,0.0188952,0.0245057
892,0.0187905,0.024405
894,0.0186865,0.0243048
896,0.018583,0.0242052
898,0.0184802,0.024106
900,0.0183779,0.0240072
902,0.0182763,0.023909
904,0.0181752,0.0238112
906,0.0180747,0.0237139
908,0.0179747,0.0236171
910,0.0178754,0.0235207
912,0.0177766,0.0234248
914,0.0176784,0.0233294
916,0.0175807,0.0232345
918,0.0174837,0.02314
920,0.0173872,0.0230459
922,0.0172912,0.0229524
924,0.0171958,0.0228593
926,0.017101,0.0227666
928,0.0170067,0.0226744
930,0.016913,0.0225827
932,0.0168198,0.0224914
934,0.0167272,0.0224005
936,0.0166351,0.0223101
938,0.0165436,0.0222202
940,0.0164526,0.0221307
942,0.0163622,0.0220417
944,0.0162723,0.021953
946,0.0161829,0.0218649
948,0.016094,0.0217771
950,0.0160057,0.0216898
952,0.0159179,0.021603
954,0.0158307,0.0215166
956,0.0157439,0.0214306
958,0.0156577,0.021345
960,0.015572,0.0212599
962,0.0154869,0.0211752
964,0.0154022,0.0210909
966,0.015318,0.021007
968,0.0152344,0.0209236
970,0.0151513,0.0208406
972,0.0150687,0.020758
974,0.0149865,0.0206758
976,0.0149049,0.0205941
978,0.0148238,0.0205127
980,0.0147432,0.0204318
982,0.0146631,0.0203513
984,0.0145834,0.0202712
986,0.0145043,0.0201915
