epoch,train_loss,val_loss
2,138.644,113.651
4,130.659,107.099
6,123.016,100.937
8,115.742,95.1882
10,108.847,89.856
12,102.324,84.9239
14,96.1454,80.3581
16,90.27,76.1136
18,84.6471,72.1427
20,79.2297,68.4049
22,73.9829,64.8707
24,68.8875,61.5217
26,63.9379,58.3484
28,59.1391,55.3468
30,54.5026,52.5161
32,50.0435,49.8564
34,45.778,47.3676
36,41.7211,45.0486
38,37.8857,42.8971
40,34.2819,40.9094
42,30.9168,39.0808
44,27.7946,37.4059
46,24.9167,35.8784
48,22.282,34.4916
50,19.8868,33.2379
52,17.7254,32.1094
54,15.7903,31.0976
56,14.0718,30.1936
58,12.5588,29.3881
60,11.2386,28.6718
62,10.0974,28.035
64,9.12049,27.4684
66,8.29244,26.9629
68,7.59765,26.5098
70,7.02058,26.1008
72,6.54602,25.7283
74,6.15943,25.3853
76,5.84713,25.0653
78,5.59649,24.7625
80,5.39608,24.4718
82,5.23569,24.1886
84,5.10642,23.9089
86,5.00058,23.6292
88,4.9117,23.3466
90,4.8344,23.0586
92,4.76431,22.7629
94,4.69797,22.458
96,4.63265,22.1425
98,4.56633,21.8153
100,4.4975,21.4757
102,4.42513,21.1232
104,4.34855,20.7577
106,4.26738,20.3792
108,4.18147,19.9883
110,4.09086,19.5855
112,3.99574,19.1718
114,3.89642,18.7486
116,3.7933,18.3172
118,3.68689,17.8793
120,3.57771,17.437
122,3.46638,16.9923
124,3.35353,16.5473
126,3.2398,16.1042
128,3.12585,15.665
130,3.0123,15.2317
132,2.89974,14.8063
134,2.78871,14.3902
136,2.67971,13.985
138,2.57315,13.5917
140,2.46942,13.2113
142,2.36882,12.8445
144,2.2716,12.4918
146,2.17799,12.1536
148,2.08815,11.8299
150,2.0022,11.5209
152,1.92026,11.2264
154,1.84237,10.9463
156,1.76857,10.6803
158,1.69887,10.4281
160,1.63324,10.1894
162,1.57162,9.96384
164,1.51395,9.75096
166,1.46011,9.55037
168,1.40998,9.36163
170,1.3634,9.18432
172,1.32022,9.01799
174,1.28024,8.86219
176,1.24328,8.71647
178,1.20914,8.58038
180,1.17761,8.45345
182,1.1485,8.33523
184,1.12159,8.22526
186,1.09669,8.12307
188,1.07362,8.02821
190,1.0522,7.94022
192,1.03226,7.85864
194,1.01364,7.78305
196,0.996213,7.71299
198,0.979837,7.64805
200,0.9644,7.58784
202,0.949795,7.53194
204,0.935929,7.48
206,0.922719,7.43167
208,0.910095,7.38661
210,0.897993,7.34452
212,0.886356,7.30512
214,0.875141,7.26814
216,0.864306,7.23336
218,0.853819,7.20056
220,0.843651,7.16954
222,0.833777,7.14013
224,0.82418,7.11219
226,0.814842,7.08556
228,0.80575,7.06014
230,0.796894,7.03582
232,0.788263,7.01249
234,0.779851,6.99009
236,0.771651,6.96852
238,0.763658,6.94773
240,0.755866,6.92766
242,0.748271,6.90825
244,0.740869,6.88944
246,0.733656,6.87121
248,0.726627,6.85349
250,0.71978,6.83626
252,0.713109,6.81947
254,0.706612,6.8031
256,0.700283,6.78711
258,0.694119,6.77148
260,0.688116,6.75618
262,0.68227,6.74117
264,0.676574,6.72645
266,0.671027,6.71199
268,0.665622,6.69777
270,0.660356,6.68378
272,0.655224,6.67001
274,0.650222,6.65644
276,0.645344,6.64306
278,0.640587,6.62988
280,0.635946,6.61687
282,0.631417,6.60404
284,0.626996,6.59138
286,0.622678,6.57889
288,0.61846,6.56657
290,0.614336,6.55443
292,0.610304,6.54244
294,0.60636,6.53063
296,0.602499,6.51899
298,0.598719,6.50751
300,0.595015,6.4962
302,0.591386,6.48506
304,0.587826,6.47409
306,0.584333,6.4633
308,0.580904,6.45266
310,0.577536,6.4422
312,0.574227,6.4319
314,0.570973,6.42177
316,0.567773,6.41181
318,0.564623,6.402
320,0.561522,6.39236
322,0.558467,6.38287
324,0.555456,6.37354
326,0.552487,6.36437
328,0.549559,6.35534
330,0.546668,6.34646
332,0.543815,6.33773
334,0.540997,6.32914
336,0.538212,6.32069
338,0.535459,6.31238
340,0.532738,6.3042
342,0.530046,6.29615
344,0.527382,6.28823
346,0.524746,6.28043
348,0.522137,6.27277
350,0.519553,6.26521
352,0.516993,6.25778
354,0.514458,6.25045
356,0.511945,6.24324
358,0.509454,6.23614
360,0.506985,6.22914
362,0.504537,6.22224
364,0.50211,6.21544
366,0.499703,6.20874
368,0.497315,6.20213
370,0.494947,6.19561
372,0.492596,6.18918
374,0.490265,6.18283
376,0.487951,6.17657
378,0.485656,6.17039
380,0.483378,6.16429
382,0.481117,6.15826
384,0.478873,6.15231
386,0.476647,6.14642
388,0.474437,6.14061
390,0.472244,6.13487
392,0.470066,6.12919
394,0.467907,6.12357
396,0.465762,6.11802
398,0.463634,6.11252
400,0.461523,6.10709
402,0.459427,6.10171
404,0.457348,6.09639
406,0.455284,6.09111
408,0.453236,6.0859
410,0.451205,6.08073
412,0.44919,6.07562
414,0.44719,6.07055
416,0.445206,6.06552
418,0.443238,6.06055
420,0.441286,6.05561
422,0.43935,6.05073
424,0.43743,6.04588
426,0.435526,6.04108
428,0.433638,6.03631
430,0.431766,6.03159
432,0.42991,6.0269
434,0.428069,6.02226
436,0.426245,6.01765
438,0.424437,6.01308
440,0.422645,6.00854
442,0.420868,6.00403
444,0.419108,5.99957
446,0.417364,5.99514
448,0.415636,5.99073
450,0.413924,5.98637
452,0.412228,5.98203
454,0.410548,5.97773
456,0.408885,5.97346
458,0.407237,5.96922
460,0.405606,5.96501
462,0.40399,5.96083
464,0.40239,5.95668
466,0.400807,5.95257
468,0.399239,5.94848
470,0.397688,5.94442
472,0.396152,5.94039
474,0.394633,5.93639
476,0.393129,5.93242
478,0.391642,5.92848
480,0.39017,5.92456
482,0.388714,5.92068
484,0.387274,5.91682
486,0.385849,5.913
488,0.384441,5.90919
490,0.383047,5.90543
492,0.38167,5.90168
494,0.380308,5.89797
496,0.378962,5.89428
498,0.377631,5.89063
500,0.376316,5.88699
502,0.375016,5.88339
504,0.373731,5.87982
506,0.372461,5.87627
508,0.371207,5.87275
510,0.369968,5.86926
512,0.368744,5.8658
514,0.367534,5.86237
516,0.36634,5.85896
518,0.36516,5.85558
520,0.363995,5.85223
522,0.362845,5.84891
524,0.361709,5.84562
526,0.360587,5.84236
528,0.35948,5.83912
530,0.358387,5.83591
532,0.357308,5.83273
534,0.356243,5.82958
536,0.355193,5.82645
538,0.354155,5.82336
540,0.353132,5.82029
542,0.352123,5.81725
544,0.351126,5.81424
546,0.350143,5.81126
548,0.349174,5.8083
550,0.348217,5.80538
552,0.347274,5.80249
554,0.346344,5.79962
556,0.345426,5.79677
558,0.344521,5.79396
560,0.343629,5.79118
562,0.342749,5.78843
564,0.341882,5.78569
566,0.341027,5.78299
568,0.340184,5.78032
570,0.339352,5.77768
572,0.338533,5.77506
574,0.337725,5.77247
576,0.336929,5.76991
578,0.336145,5.76737
580,0.335371,5.76486
582,0.33461,5.76238
584,0.333858,5.75992
586,0.333118,5.7575
588,0.332389,5.7551
590,0.33167,5.75272
592,0.330962,5.75037
594,0.330264,5.74805
596,0.329577,5.74576
598,0.328899,5.74349
600,0.328232,5.74124
602,0.327575,5.73902
604,0.326927,5.73683
606,0.326289,5.73466
608,0.32566,5.73252
610,0.325041,5.7304
612,0.324431,5.7283
614,0.32383,5.72624
616,0.323238,5.72419
618,0.322654,5.72216
620,0.32208,5.72017
622,0.321514,5.71819
624,0.320956,5.71624
626,0.320406,5.7143
628,0.319866,5.7124
630,0.319332,5.71051
632,0.318807,5.70864
634,0.31829,5.7068
636,0.31778,5.70499
638,0.317278,5.70318
640,0.316782,5.7014
642,0.316295,5.69964
644,0.315814,5.6979
646,0.315341,5.69619
648,0.314875,5.69449
650,0.314415,5.6928
652,0.313962,5.69114
654,0.313515,5.6895
656,0.313075,5.68787
658,0.312642,5.68626
660,0.312214,5.68467
662,0.311793,5.6831
664,0.311377,5.68155
666,0.310967,5.68001
668,0.310564,5.67849
670,0.310166,5.67698
672,0.309773,5.67549
674,0.309386,5.67401
676,0.309004,5.67255
678,0.308628,5.6711
680,0.308256,5.66967
682,0.30789,5.66825
684,0.307528,5.66684
686,0.307172,5.66545
688,0.30682,5.66407
690,0.306473,5.6627
692,0.30613,5.66135
694,0.305792,5.66001
696,0.305458,5.65868
698,0.305128,5.65735
700,0.304803,5.65604
702,0.304481,5.65475
704,0.304164,5.65346
706,0.30385,5.65218
708,0.303541,5.6509
710,0.303235,5.64964
712,0.302933,5.64839
714,0.302634,5.64715
716,0.302339,5.64591
718,0.302048,5.64468
720,0.301759,5.64346
722,0.301474,5.64225
724,0.301192,5.64104
726,0.300914,5.63984
728,0.300638,5.63864
730,0.300365,5.63745
732,0.300095,5.63627
734,0.299828,5.63509
736,0.299564,5.63391
738,0.299303,5.63275
740,0.299044,5.63158
742,0.298788,5.63042
744,0.298534,5.62926
746,0.298283,5.6281
748,0.298034,5.62695
750,0.297788,5.6258
752,0.297543,5.62466
754,0.297302,5.62351
756,0.297062,5.62237
758,0.296824,5.62123
760,0.296588,5.62009
762,0.296355,5.61895
764,0.296123,5.61781
766,0.295893,5.61667
768,0.295666,5.61554
770,0.29544,5.6144
772,0.295216,5.61327
774,0.294993,5.61213
776,0.294772,5.61099
778,0.294553,5.60985
780,0.294335,5.60871
782,0.294119,5.60757
784,0.293905,5.60642
786,0.293691,5.60528
788,0.29348,5.60413
790,0.293269,5.60298
792,0.29306,5.60183
794,0.292853,5.60067
796,0.292646,5.59952
798,0.292441,5.59836
800,0.292237,5.59719
802,0.292035,5.59603
804,0.291833,5.59485
806,0.291632,5.59368
808,0.291433,5.5925
810,0.291235,5.59132
812,0.291037,5.59013
814,0.290841,5.58894
816,0.290645,5.58775
818,0.290451,5.58654
820,0.290257,5.58534
822,0.290064,5.58413
824,0.289872,5.58291
826,0.289681,5.58169
828,0.289491,5.58046
830,0.289302,5.57923
832,0.289113,5.578
834,0.288924,5.57675
836,0.288737,5.5755
838,0.288551,5.57424
840,0.288364,5.57299
842,0.288179,5.57172
844,0.287994,5.57044
846,0.28781,5.56916
848,0.287627,5.56788
850,0.287443,5.56658
852,0.28726,5.56528
854,0.287079,5.56397
856,0.286897,5.56266
858,0.286716,5.56134
860,0.286536,5.56001
862,0.286355,5.55868
864,0.286176,5.55733
866,0.285997,5.55599
868,0.285818,5.55463
870,0.28564,5.55326
872,0.285462,5.55189
874,0.285284,5.55052
876,0.285106,5.54913
878,0.284929,5.54774
880,0.284753,5.54634
882,0.284577,5.54493
884,0.2844,5.54352
886,0.284225,5.54209
888,0.284049,5.54066
890,0.283874,5.53923
892,0.283699,5.53778
894,0.283524,5.53633
896,0.28335,5.53487
898,0.283176,5.5334
900,0.283002,5.53193
902,0.282828,5.53044
904,0.282654,5.52896
906,0.282481,5.52746
908,0.282308,5.52595
910,0.282135,5.52444
912,0.281962,5.52292
914,0.281789,5.52139
916,0.281617,5.51986
918,0.281444,5.51831
920,0.281272,5.51676
922,0.2811,5.51521
924,0.280928,5.51364
926,0.280756,5.51207
928,0.280584,5.51049
930,0.280413,5.50891
932,0.280241,5.50731
934,0.280069,5.50571
936,0.279898,5.50411
938,0.279727,5.50249
940,0.279556,5.50087
942,0.279384,5.49924
944,0.279214,5.49761
946,0.279043,5.49596
948,0.278872,5.49431
950,0.278701,5.49266
952,0.27853,5.491
954,0.27836,5.48933
